port	net	io_type	signal_type	layer	xmin	ymin	xmax	ymax	placement_status
gpio13_io	gpio13_io	INOUT	SIGNAL	TopMetal2	1886200	547000	1956200	617000	FIRM
gpio14_io	gpio14_io	INOUT	SIGNAL	TopMetal2	1886200	637000	1956200	707000	FIRM
gpio15_io	gpio15_io	INOUT	SIGNAL	TopMetal2	1886200	727000	1956200	797000	FIRM
gpio16_io	gpio16_io	INOUT	SIGNAL	TopMetal2	1886200	817000	1956200	887000	FIRM
gpio17_io	gpio17_io	INOUT	SIGNAL	TopMetal2	1886200	907000	1956200	977000	FIRM
gpio18_io	gpio18_io	INOUT	SIGNAL	TopMetal2	1886200	997000	1956200	1067000	FIRM
gpio19_io	gpio19_io	INOUT	SIGNAL	TopMetal2	1886200	1087000	1956200	1157000	FIRM
gpio1_io	gpio1_io	INOUT	SIGNAL	TopMetal2	547000	17800	617000	87800	FIRM
gpio20_io	gpio20_io	INOUT	SIGNAL	TopMetal2	1886200	1177000	1956200	1247000	FIRM
gpio21_io	gpio21_io	INOUT	SIGNAL	TopMetal2	1886200	1267000	1956200	1337000	FIRM
gpio22_io	gpio22_io	INOUT	SIGNAL	TopMetal2	1886200	1357000	1956200	1427000	FIRM
gpio23_io	gpio23_io	INOUT	SIGNAL	TopMetal2	1886200	1447000	1956200	1517000	FIRM
gpio24_io	gpio24_io	INOUT	SIGNAL	TopMetal2	1447000	1886200	1517000	1956200	FIRM
gpio25_io	gpio25_io	INOUT	SIGNAL	TopMetal2	1357000	1886200	1427000	1956200	FIRM
gpio26_io	gpio26_io	INOUT	SIGNAL	TopMetal2	1267000	1886200	1337000	1956200	FIRM
gpio27_io	gpio27_io	INOUT	SIGNAL	TopMetal2	1177000	1886200	1247000	1956200	FIRM
gpio28_io	gpio28_io	INOUT	SIGNAL	TopMetal2	1087000	1886200	1157000	1956200	FIRM
gpio29_io	gpio29_io	INOUT	SIGNAL	TopMetal2	997000	1886200	1067000	1956200	FIRM
gpio2_io	gpio2_io	INOUT	SIGNAL	TopMetal2	637000	17800	707000	87800	FIRM
gpio30_io	gpio30_io	INOUT	SIGNAL	TopMetal2	907000	1886200	977000	1956200	FIRM
gpio31_io	gpio31_io	INOUT	SIGNAL	TopMetal2	817000	1886200	887000	1956200	FIRM
gpio3_io	gpio3_io	INOUT	SIGNAL	TopMetal2	727000	17800	797000	87800	FIRM
gpio4_io	gpio4_io	INOUT	SIGNAL	TopMetal2	817000	17800	887000	87800	FIRM
gpio5_io	gpio5_io	INOUT	SIGNAL	TopMetal2	907000	17800	977000	87800	FIRM
gpio6_io	gpio6_io	INOUT	SIGNAL	TopMetal2	997000	17800	1067000	87800	FIRM
gpio7_io	gpio7_io	INOUT	SIGNAL	TopMetal2	1087000	17800	1157000	87800	FIRM
gpio8_io	gpio8_io	INOUT	SIGNAL	TopMetal2	1177000	17800	1247000	87800	FIRM
gpio9_io	gpio9_io	INOUT	SIGNAL	TopMetal2	1267000	17800	1337000	87800	FIRM
jtag_tck_i	jtag_tck_i	INPUT	SIGNAL	TopMetal2	17800	817000	87800	887000	FIRM
jtag_tdi_i	jtag_tdi_i	INPUT	SIGNAL	TopMetal2	17800	547000	87800	617000	FIRM
jtag_tdo_o	jtag_tdo_o	OUTPUT	SIGNAL	TopMetal2	17800	457000	87800	527000	FIRM
jtag_tms_i	jtag_tms_i	INPUT	SIGNAL	TopMetal2	17800	637000	87800	707000	FIRM
jtag_trst_ni	jtag_trst_ni	INPUT	SIGNAL	TopMetal2	17800	727000	87800	797000	FIRM
ref_clk_i	ref_clk_i	INPUT	SIGNAL	TopMetal2	17800	997000	87800	1067000	FIRM
rst_ni	rst_ni	INPUT	SIGNAL	TopMetal2	17800	907000	87800	977000	FIRM
status_o	status_o	OUTPUT	SIGNAL	TopMetal2	17800	1177000	87800	1247000	FIRM
testmode_i	testmode_i	INPUT	SIGNAL	TopMetal2	17800	1267000	87800	1337000	FIRM
uart_rx_i	uart_rx_i	INPUT	SIGNAL	TopMetal2	17800	1447000	87800	1517000	FIRM
uart_tx_o	uart_tx_o	OUTPUT	SIGNAL	TopMetal2	17800	1357000	87800	1427000	FIRM
unused0_o	unused0_o	OUTPUT	SIGNAL	TopMetal2	727000	1886200	797000	1956200	FIRM
unused1_o	unused1_o	OUTPUT	SIGNAL	TopMetal2	637000	1886200	707000	1956200	FIRM
