# Logfile created on 2026-09-10 14:30:09 +0200 by logger.rb/v1.5.3
2026-09-10 14:30:09 +0200: Memory Usage (452104K) : flash_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (452232K) : intbondvia_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (452232K) : intbondmet_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (452232K) : devbondvia_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (452360K) : devbondmet_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (452360K) : devtrench_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (452488K) : redist_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (452488K) : graphbot_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (452616K) : graphtop_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (452616K) : antvia1_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (452616K) : antmetal2_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (452744K) : graphcont_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (452744K) : siwg_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (452872K) : siwg_filler has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (452872K) : siwg_nofill has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (453000K) : sigrating_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (453000K) : singrating_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (453000K) : graphpas_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (453128K) : emwind3_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (453128K) : emwihv3_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (453256K) : redbulay_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (453256K) : smos_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (453256K) : graphpad_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (453384K) : polimide_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (453384K) : polimide_pin has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (453512K) : recog_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (453512K) : recog_pin has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (453640K) : recog_esd has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (453640K) : recog_diode has 6 polygons
2026-09-10 14:30:09 +0200: Memory Usage (453640K) : recog_tsv has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (453768K) : recog_iprobe has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (453768K) : recog_diffprb has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (453896K) : recog_pillar has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (453896K) : recog_sbump has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (454024K) : recog_otp has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (454024K) : recog_pdiode has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (454024K) : recog_mom has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (454152K) : recog_momf has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (454152K) : recog_pcm has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (454280K) : colopen_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (454280K) : graphmetal1_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (454280K) : graphmetal1_filler has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (454280K) : graphmetal1_nofill has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (454280K) : graphmetal1_slit has 0 polygons
